isin,date
CH0300981195,2019Q4
CH0478409276,2019Q4
DE000DB2BRE3,2019Q4
CH0262434126,2019Q4
GI000A14Z9B7,2019Q4
LU1900066207,2019Q4
CH0451798273,2019Q4
GB00B0386M46,2019Q4
GB00B0386P76,2019Q4
CH0454930907,2019Q4
CH0418423817,2019Q4
CH0485001694,2019Q4
CH0445344184,2019Q4
IE00BSKRK281,2019Q4
LI0396709078,2019Q4
CH0477836800,2019Q4
CH0506325734,2019Q4
KYG166513021,2019Q4
GI000A12HLU3,2019Q4
XS1941725597,2019Q4
CH0292578249,2019Q4
LU2039786855,2019Q4
XD0357282538,2019Q4
XS1422239456,2019Q4
IE00B7JYM942,2019Q4
IE00B617PT52,2019Q4
IE00BQLDR312,2019Q4
XS1625026544,2019Q4
KYG8700A1307,2019Q4
CH0415814158,2019Q4
XS1875412048,2019Q4
CH0442581614,2019Q4
CH0454930931,2019Q4
XS1983969400,2019Q4
XS1941720101,2019Q4
XS2084098750,2019Q4
XS1251305345,2019Q4
XS1815472193,2019Q4
LI0447805917,2019Q4
CH0137596653,2019Q4
IE00BDCJZ442,2019Q4
LU0847326302,2019Q4
LU1240788817,2019Q4
CH0437000612,2019Q4
XS1752936630,2019Q4
CH0502667105,2019Q4
CH0504264935,2019Q4
LU0607515102,2019Q4
CH0203271801,2019Q4
CH0485444472,2019Q4
IE00B4L60045,2019Q4
CH0483996705,2019Q4
IE0008505954,2019Q4
CH0436946906,2019Q4
CH0497826484,2019Q4
CH0393792434,2019Q4
KYG912381731,2019Q4
IE00BYXJS522,2019Q4
XS1815471971,2019Q4
XS2007892966,2019Q4
LU1153584641,2019Q4
DE000A2MB215,2019Q4
LI0434889973,2019Q4
LU1191877965,2019Q4
LI0325825516,2019Q4
USE0002VAC84,2019Q4
CH0475074180,2019Q4
CH0399905832,2019Q4
CH0472330775,2019Q4
XS2001965032,2019Q4
KYG8700A1976,2019Q4
CH0416901004,2019Q4
XS0972722630,2019Q4
XS1941766609,2019Q4
XS1941762798,2019Q4
CH0499876594,2019Q4
CH0506331948,2019Q4
